PACE_NUMBER,PACE_NAME,STATUS,PROGRAM,SUB_PROGRAM,FORECAST_YEAR,SOURCE_JOB_NUMBER,RAN_REGION,MARKET,SUBMARKET,LATITUDE,LONGITUDE,PRODUCT_GROUP,PRODUCT_SUBGROUP,NATIONAL_PROGRAM,USID,FA_LOCATION_CODE,CURRENT_NEED_BY_DATE,ONAIR_PLAN,ONAIR_FORECAST,ONAIR_ACTUAL,ROW_NUM
MRIND029818,HENRY FORD MACOMB HOSPITAL DETROIT ISE NSB,Active,IB ALL,IB-New Site,2020,NER-RIND-17-09022,CENTRAL,MICHIGAN/INDIANA,DETROIT,null,null,New Site,ISE,IB-New Site,null,14474868,12-31-2018,null,06-01-2020,null,93
MRIND029466,HENRY FORD WYANDOTTE HOSPITAL DETROIT ISE NSB,Active,IB ALL,IB-New Site,2020,NER-RIND-17-08907,CENTRAL,MICHIGAN/INDIANA,DETROIT,null,null,New Site,ISE,IB-New Site,null,14474869,12-31-2018,null,06-01-2020,null,92
MRUMW023510,Federal Reserve Bank Omaha Branch - (VENUE PAID),Active,IB ALL,IB-New Site,2020,CR_-RUMW-17-06674,CENTRAL,NORTHERN PLAINS,NEBRASKA,41.257114,-95.944951,New Site,iDAS,IB-New Site,202165,14498129,07-31-2018,null,01-31-2020,null,339
MRKSL025296,AT&T OFFICE BUILDIING (801 CHESTNUT),Active,IB ALL,IB-New Site,2020,CR_-RKSL-17-08285,CENTRAL,GREATER MIDWEST,ST. LOUIS,38.6275667,-90.1935222,New Site,iDAS,IB-New Site,201376,14500268,12-31-2019,null,08-18-2020,null,148
MRIND030711,Indiana State Capitol Building (First Net),Active,IB ALL,IB-New Site,2020,NER-RIND-18-00056,CENTRAL,MICHIGAN/INDIANA,INDIANAPOLIS,39.768094,-86.162679,New Site,iDAS,IB-New Site,207985,14515277,01-31-2019,null,11-15-2020,null,100
MRIND030709,Indiana State Capitol Building South (First Net),Active,IB ALL,IB-New Site,2020,NER-RIND-18-00058,CENTRAL,MICHIGAN/INDIANA,INDIANAPOLIS,39.767889,-86.165877,New Site,iDAS,IB-New Site,207990,14515279,01-31-2019,null,11-15-2020,null,98
MRIND030710,Indiana State Capitol Building North (First Net),Active,IB ALL,IB-New Site,2020,NER-RIND-18-00057,CENTRAL,MICHIGAN/INDIANA,INDIANAPOLIS,39.768975,-86.165069,New Site,iDAS,IB-New Site,207989,14515280,01-31-2019,null,11-15-2020,null,99
MRCHI034373,Illinois Emergency Management Agency (FirstNet),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00051,CENTRAL,ILLINOIS/WISCONSIN,CENTRAL ILLINOIS,null,null,New Site,iDAS,IB-New Site,null,14518148,12-31-2019,null,12-31-2020,null,46
MRCHI034374,Milwaukee OEMC (FirstNet),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00052,CENTRAL,ILLINOIS/WISCONSIN,WISCONSIN,null,null,New Site,iDAS,IB-New Site,null,14518149,12-31-2019,null,12-31-2020,null,48
MRCHI034372,Chicago OEMC (FirstNet),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00050,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.881222,-87.662401,New Site,iDAS,IB-New Site,214332,14518150,12-31-2019,null,12-31-2020,null,45
